time_ms,servo_deg,dist_cm
8999,30.00,3.94
9019,30.00,7.70
9039,30.00,11.64
9059,44.06,15.49
9079,96.06,19.26
9099,147.66,19.08
9119,194.45,19.09
9139,232.41,18.92
9159,258.22,18.83
9179,269.57,18.83
9199,265.40,18.92
9219,245.98,19.00
9239,212.89,19.08
9259,168.97,19.17
9279,118.01,19.42
9299,64.47,19.51
9319,30.00,19.60
9339,30.00,19.68
9359,30.00,19.85
9379,30.00,19.85
9399,30.00,19.76
9419,30.00,19.67
9439,30.00,19.68
9459,30.00,19.60
9479,39.46,19.43
9499,93.62,19.43
9519,147.55,19.35
9539,196.24,19.26
9559,235.14,19.09
9579,260.54,19.08
9600,270.00,19.00
9620,261.64,19.08
9640,237.02,19.08
9660,198.38,19.16
9680,149.32,19.16
9700,94.50,19.24
9720,39.12,19.33
9740,30.00,19.34
9760,30.00,19.35
9780,30.00,19.35
9800,30.00,19.35
9820,30.00,19.26
9840,30.00,19.17
9860,30.00,19.26
9880,30.00,19.26
9900,85.73,19.27
9920,142.15,19.18
9940,193.45,19.18
9960,234.42,19.01
9980,260.85,18.92
10000,270.00,18.92
10020,260.82,18.92
10040,234.15,18.90
10060,192.63,18.87
10080,140.45,18.84
10100,82.96,18.81
10120,30.00,18.95
10140,30.00,18.94
10160,30.00,19.08
10180,30.00,19.17
10200,30.00,19.17
10220,30.00,19.00
10240,30.00,19.09
10260,30.00,19.04
10280,60.28,19.04
10300,119.30,19.27
10320,175.27,19.27
10340,222.11,19.19
10360,254.69,19.07
10380,269.37,18.99
10400,264.46,18.75
10420,240.38,18.75
10440,199.68,18.75
10460,146.78,18.86
10480,87.48,18.94
10500,30.00,19.09
10520,30.00,19.27
10540,30.00,19.27
10560,30.00,19.33
10580,30.00,19.41
10600,30.00,19.27
10620,30.00,19.18
10640,30.00,19.35
10660,74.59,19.38
10680,135.47,19.21
10700,191.20,19.21
10720,235.29,19.21
10740,262.56,19.13
10760,269.73,19.01
10780,255.85,19.09
10800,222.45,19.09
10820,173.36,19.09
10840,114.31,19.09
10860,52.28,19.11
10880,30.00,19.02
10900,30.00,19.10
10920,30.00,19.19
10940,30.00,19.19
10960,30.00,19.08
10980,30.00,19.09
11000,30.00,19.09
11020,65.70,19.01
11040,128.71,19.01
11060,187.06,19.12
11080,233.52,19.20
11100,262.28,19.12
11120,269.67,19.11
11140,254.65,19.11
11160,219.00,19.08
11180,167.08,19.08
11200,105.36,19.08
11220,41.60,19.08
11240,30.00,19.17
11260,30.00,19.20
11280,30.00,19.28
11300,30.00,19.37
11320,30.00,19.37
11340,30.00,19.28
11360,30.00,19.43
11380,92.59,19.43
11400,156.37,19.27
11420,211.57,19.18
11440,250.90,19.18
11460,269.10,19.04
11480,263.67,18.95
11500,235.21,18.95
11520,187.38,19.03
11540,126.48,18.95
11560,60.59,18.84
11580,30.00,18.93
11600,30.00,19.02
11620,30.00,19.10
11640,30.00,19.27
11660,30.00,19.46
11680,30.00,19.37
11700,30.00,19.37
11720,88.20,19.46
11740,154.03,19.30
11760,211.11,19.18
11780,251.46,19.18
11800,269.39,19.19
11820,262.28,19.01
11840,231.02,19.09
11860,179.87,19.12
11880,115.96,19.12
11900,48.28,19.12
11920,30.00,19.38
11940,30.00,19.46
11960,30.00,19.52
11980,30.00,19.52
12000,30.00,19.52
12020,30.00,19.27
12040,47.21,19.27
12060,115.75,19.21
12080,180.64,19.21
12100,232.38,19.12
12120,263.34,19.03
12140,268.85,18.86
12160,247.99,18.75
12180,203.71,18.76
12200,142.49,18.76
12220,73.36,18.76
12240,30.00,19.02
12260,30.00,19.04
12280,30.00,19.12
12300,30.00,19.19
12320,30.00,19.36
12340,30.00,19.28
12360,34.67,19.28
12380,104.57,19.37
12400,172.32,19.30
12420,227.54,19.13
12440,261.64,19.04
12460,269.27,19.04
12480,249.12,18.79
12500,204.19,18.87
12520,141.38,18.87
12540,70.45,18.87
12560,30.00,18.92
12580,30.00,19.09
12600,30.00,19.17
12620,30.00,19.35
12640,30.00,19.26
12660,30.00,19.29
12680,49.46,19.20
12700,121.53,19.03
12720,188.64,18.95
12740,239.94,19.04
12760,267.05,18.95
12780,265.48,18.87
12800,235.35,18.95
12820,181.46,18.95
12840,112.52,18.86
12860,39.78,18.95
12880,30.00,18.94
12900,30.00,18.93
12920,30.00,19.10
12940,30.00,19.19
12960,30.00,19.25
12980,30.00,19.34
13000,92.83,19.35
13020,164.84,19.17
13040,224.34,19.17
13060,261.21,19.12
13080,269.08,19.12
13100,246.51,19.12
13120,197.20,19.12
13140,129.48,19.03
13160,54.90,19.03
13180,30.00,19.37
13200,30.00,19.29
13220,30.00,19.28
13240,30.00,19.45
13260,30.00,19.54
13280,30.00,19.19
13300,88.90,19.28
13320,162.78,19.20
13340,223.94,19.12
13360,261.53,18.95
13380,268.79,18.86
13400,244.30,18.87
13420,192.29,18.95
13440,121.93,18.87
13460,45.76,18.87
13480,30.00,19.13
13500,30.00,19.04
13520,30.00,19.12
13540,30.00,19.20
13560,30.00,19.29
13580,33.31,19.12
13600,109.87,19.47
13620,182.88,19.29
13640,238.93,19.29
13660,267.60,19.20
13680,263.49,19.12
13700,227.22,18.78
13720,165.40,18.87
13740,89.45,18.79
13760,30.00,18.79
13780,30.00,18.95
13800,30.00,19.12
13820,30.00,19.18
13840,30.00,19.35
13860,30.00,19.52
13880,76.63,19.52
13900,154.39,19.36
13920,219.96,19.21
13940,260.71,19.04
13960,268.72,18.87
13980,242.31,18.70
14000,186.45,18.70
14020,111.83,18.67
14040,32.88,18.76
14060,30.00,18.84
14080,30.00,19.01
14100,30.00,19.18
14120,30.00,19.19
14140,30.00,19.20
14160,65.13,19.27
14180,144.95,19.19
14200,213.96,19.11
14220,258.39,19.17
14240,269.28,19.17
14260,244.31,19.09
14280,188.35,19.09
14300,112.53,19.09
14320,32.07,19.11
14340,30.00,19.19
14360,30.00,19.43
14380,30.00,19.60
14400,30.00,19.68
14420,30.00,19.66
14440,75.22,19.75
14460,155.97,19.44
14480,223.23,19.27
14500,263.05,19.10
14520,267.08,19.13
14540,234.33,18.95
14560,171.50,18.95
14580,91.57,18.94
14600,30.00,18.94
14620,30.00,19.01
14640,30.00,19.01
14660,30.00,19.18
14680,30.00,19.18
14700,30.00,19.26
14720,107.06,19.29
14740,185.76,19.21
14760,244.10,19.12
14780,269.48,19.12
14800,256.34,19.12
14820,207.36,19.01
14840,132.97,19.01
14861,45.08,19.00
14881,30.00,19.27
14901,30.00,19.27
14921,30.00,19.38
14941,30.00,19.55
14961,30.00,19.55
14981,79.62,19.38
15001,162.81,19.29
15021,230.00,19.18
15041,266.26,19.09
15062,262.20,19.01
15082,218.97,18.83
15104,138.67,18.92
15124,53.52,18.94
15144,30.00,19.04
15164,30.00,19.04
15184,30.00,19.21
15204,30.00,19.21
15224,30.00,19.27
15244,79.71,19.18
15264,164.22,19.18
15284,231.87,19.09
15304,267.11,19.00
15325,260.36,18.86
15345,213.67,18.78
15366,134.15,18.85
15387,43.29,18.86
15407,30.00,18.95
15427,30.00,19.04
15447,30.00,19.10
15467,30.00,19.11
15488,30.00,19.26
15508,103.35,19.35
15528,186.31,19.26
15548,246.63,19.19
15568,269.95,19.11
15589,248.56,18.87
15609,189.38,18.70
15630,102.01,18.79
15651,30.00,18.87
15671,30.00,19.04
15691,30.00,19.21
15711,30.00,19.27
15731,30.00,19.27
15751,52.52,19.33
15771,141.14,19.25
15791,217.42,19.16
15811,262.73,19.18
15832,264.87,19.18
15853,219.88,19.06
15874,139.76,19.01
15894,50.45,19.01
15915,30.00,19.11
15935,30.00,18.97
15955,30.00,18.94
15975,30.00,19.03
15995,30.00,19.12
16015,112.93,19.02
16035,196.58,19.10
16055,253.57,19.18
16075,269.47,19.10
16096,237.56,18.96
16117,164.56,18.96
16138,70.70,19.01
16158,30.00,19.01
16178,30.00,19.04
16198,30.00,19.17
16218,30.00,19.14
16238,30.00,19.23
16258,96.01,19.23
16278,183.60,19.17
16299,249.31,19.00
16319,269.92,19.03
16339,243.85,18.86
16359,177.74,18.78
16380,84.02,18.84
16400,30.00,18.84
16420,30.00,18.99
16440,30.00,19.07
16460,30.00,19.24
16480,30.00,19.27
16500,90.71,19.35
16520,180.19,19.20
16540,245.81,19.12
16560,270.00,19.03
16581,243.79,19.02
16602,172.29,19.19
16622,81.14,19.19
16643,30.00,19.26
16663,30.00,19.25
16683,30.00,19.24
16703,30.00,19.06
16723,30.00,19.07
16743,106.36,19.01
16763,194.49,18.93
16783,254.18,18.86
16803,268.97,18.78
16824,231.77,18.78
